Study,Variable Name,Description
Study S1 Advisees,log_duration,Duration
Study S1 Advisees,log_condition,Condition
Study S1 Advisees,advicecode,Advice code
Study S1 Advisees,handed,Handedness
Study S1 Advisees,observers,Observed during task?
Study S1 Advisees,exclude,Exclude?
Study S1 Advisees,exclude kind,What kind of exclusion
Study S1 Advisees,exclude_why,Exclusion (why)
Study S1 Advisees,throw1,Throw score
Study S1 Advisees,throw2,Throw score
Study S1 Advisees,throw3,Throw score
Study S1 Advisees,throw4,Throw score
Study S1 Advisees,throw5,Throw score
Study S1 Advisees,throw6,Throw score
Study S1 Advisees,throw7,Throw score
Study S1 Advisees,throw8,Throw score
Study S1 Advisees,throw9,Throw score
Study S1 Advisees,throw10,Throw score
Study S1 Advisees,throw11,Throw score
Study S1 Advisees,throw12,Throw score
Study S1 Advisees,condition,Condition
Study S1 Advisees,playedbefore,Played before
Study S1 Advisees,playedyearsago,How many years playing
Study S1 Advisees,playedoften_txt,How often playing
Study S1 Advisees,playedoften_num,How often playing
Study S1 Advisees,adv_helpf,How helpful was advice
Study S1 Advisees,advice_imp,How much did it help you improve
Study S1 Advisees,useadvice,Did you use the advice
Study S1 Advisees,english,Language
Study S1 Advisees,age,Age
Study S1 Advisees,gender,Gender
Study S2 Advisors,advisor_pid,Advisor ID
Study S2 Advisors,advisor,Advisor Code
Study S2 Advisors,advisor_ResponseID,Advisor Response ID
Study S2 Advisors,advisor_duration,Advisor Duration
Study S2 Advisors,advisor_browser_meta,Advisor Browser
Study S2 Advisors,advisor_consent_t_3,Advisor consent timing
Study S2 Advisors,advisor_Intro_t_3,Advisor intro timing
Study S2 Advisors,advisor_Line_t_3,Advisor practice timing
Study S2 Advisors,advisor_Line2_c,Board score
Study S2 Advisors,advisor_Practice_c,Board score
Study S2 Advisors,advisor_itz_c,Board score
Study S2 Advisors,advisor_iud_c,Board score
Study S2 Advisors,advisor_hjt_c,Board score
Study S2 Advisors,advisor_ypl_c,Board score
Study S2 Advisors,advisor_sqt_c,Board score
Study S2 Advisors,advisor_yto_c,Board score
Study S2 Advisors,advisor_jfm_c,Board score
Study S2 Advisors,advisor_kte_c,Board score
Study S2 Advisors,advisor_bga_c,Board score
Study S2 Advisors,advisor_lnc_c,Board score
Study S2 Advisors,advisor_board_mean,Advisor board mean
Study S2 Advisors,advisor_board_median,Advisor board median
Study S2 Advisors,advisor_adv_inst_t_3,Timing info
Study S2 Advisors,advisor_advice,Advice
Study S2 Advisors,advisor_advice_t_3,Timing info
Study S2 Advisors,advisor_subexp,"How experienced do you think you were with Colorlink before you took this study, compared to most people?"
Study S2 Advisors,advisor_subskill,"How skilled do you think you were with Colorlink before you took this study, compared to most people?"
Study S2 Advisors,advisor_input,Advisor input device
Study S2 Advisors,advisor_browser_report,Advisor browser
Study S2 Advisors,advisor_avg_perf,How well do you think the average person does at the game you played today?
Study S2 Advisors,advisor_adv_eff_1,"Earlier in this study, you wrote advice to a future participant who will play the Colorlink game. How much do you think your advice will help them improve?"
Study S2 Advisors,advisor_age,Advisor age
Study S2 Advisors,advisor_gender,Advisor gender
Study S2 Advisors,advisor_vision,Advisor color vision
Study S2 Advisors,advisor_language,Advisor language
Study S2 Advisors,advisor_language2,Advisor language (other)
Study S2 Advisors,StudyGuess,Hypothesis guess
Study S2 Advisors,Comments,Other comments
Study S2 Advisors,advisor_board_order,Display order of boards
Study S2 Advisors,advisor_b1,Board display order by name
Study S2 Advisors,advisor_b2,Board display order by name
Study S2 Advisors,advisor_b3,Board display order by name
Study S2 Advisors,advisor_b4,Board display order by name
Study S2 Advisors,advisor_b5,Board display order by name
Study S2 Advisors,advisor_b6,Board display order by name
Study S2 Advisors,advisor_b7,Board display order by name
Study S2 Advisors,advisor_b8,Board display order by name
Study S2 Advisors,advisor_b9,Board display order by name
Study S2 Advisors,advisor_b10,Board display order by name
Study S2 Advisors,advisor_s1,Board score by order
Study S2 Advisors,advisor_s2,Board score by order
Study S2 Advisors,advisor_s3,Board score by order
Study S2 Advisors,advisor_s4,Board score by order
Study S2 Advisors,advisor_s5,Board score by order
Study S2 Advisors,advisor_s6,Board score by order
Study S2 Advisors,advisor_s7,Board score by order
Study S2 Advisors,advisor_s8,Board score by order
Study S2 Advisors,advisor_s9,Board score by order
Study S2 Advisors,advisor_s10,Board score by order
Study S2 Advisors,exclude,Exclude?
Study S2 Advisors,exclude_why,Exclusion (why)
Study S2 Advisees,condition,Condition
Study S2 Advisees,advisor,Advisor ID
Study S2 Advisees,participant,Participant ID
Study S2 Advisees,Answer.surveycode,Anonymized Qualtrics Response ID
Study S2 Advisees,Finished,Did the participant finish the entire study?
Study S2 Advisees,Q_TotalDuration,Anonymized Qualtrics Response ID
Study S2 Advisees,iud_c,Board score
Study S2 Advisees,advc_i_t_3,Timing info
Study S2 Advisees,adv_t_3,Timing info
Study S2 Advisees,hjt_c,Board score
Study S2 Advisees,ypl_c,Board score
Study S2 Advisees,sqt_c,Board score
Study S2 Advisees,jfm_c,Board score
Study S2 Advisees,lnc_c,Board score
Study S2 Advisees,Prev.Games_1,Previous experience with the task
Study S2 Advisees,Prev.Games_2,Previous experience with the task
Study S2 Advisees,Prev.Games_3,Previous experience with the task
Study S2 Advisees,Prev.Games_3_TEXT,Previous experience with the task
Study S2 Advisees,Prev.Games_4,Previous experience with the task
Study S2 Advisees,Play.Rate,How often played before
Study S2 Advisees,PlayHistor,First time played before
Study S2 Advisees,adv_skl,How skilled was advice writer compared to average people
Study S2 Advisees,adv_comp,How skilled was advice writer compared to you
Study S2 Advisees,adv_help_hyp,"If you had gotten advice, how helpful would it have been"
Study S2 Advisees,adv_eff_hyp,"If you had gotten advice, how much would it have helped you improve"
Study S2 Advisees,adv_help,How helpful was advice
Study S2 Advisees,adv_eff_1,How much did it help you improve
Study S2 Advisees,Subjec.Exp,"How experienced do you think you were with Colorlink before you took this study, compared to most people?"
Study S2 Advisees,SubjSkill,"How skilled do you think you were with Colorlink before you took this study, compared to most people?"
Study S2 Advisees,avg_perf_1_TEXT,How well do you think the average person does at the game you played today?
Study S2 Advisees,adv_perf_1_TEXT,How well do you think the person who wrote your advice does at the game you played today?
Study S2 Advisees,input,Input device
Study S2 Advisees,input_TEXT,Input device (other)
Study S2 Advisees,browser,Browser
Study S2 Advisees,age,Age
Study S2 Advisees,gender,Gender
Study S2 Advisees,randomized_order,Display order of boards
Study S2 Advisees,Exclude,Exclude?
Study S2 Advisees,Exclude_why,Exclusion (why)
Study S2 Advisees,baseline,Advisee baseline performance
Study S2 Advisees,advisor_pid,Advisor ID
Study S2 Advisees,advisor_start.date,Advisor Code
Study S2 Advisees,advisor_ResponseID,Advisor Response ID
Study S2 Advisees,advisor_duration,Advisor Duration
Study S2 Advisees,advisor_browser_meta,Advisor Browser
Study S2 Advisees,advisor_consent_t_3,Advisor consent timing
Study S2 Advisees,advisor_Intro_t_3,Advisor intro timing
Study S2 Advisees,advisor_Line_t_3,Advisor practice timing
Study S2 Advisees,advisor_Line2_c,Board score
Study S2 Advisees,advisor_Practice_c,Board score
Study S2 Advisees,advisor_itz_c,Board score
Study S2 Advisees,advisor_iud_c,Board score
Study S2 Advisees,advisor_hjt_c,Board score
Study S2 Advisees,advisor_ypl_c,Board score
Study S2 Advisees,advisor_sqt_c,Board score
Study S2 Advisees,advisor_yto_c,Board score
Study S2 Advisees,advisor_jfm_c,Board score
Study S2 Advisees,advisor_kte_c,Board score
Study S2 Advisees,advisor_bga_c,Board score
Study S2 Advisees,advisor_lnc_c,Board score
Study S2 Advisees,advisor_board_mean,Advisor board mean
Study S2 Advisees,advisor_board_median,Advisor board median
Study S2 Advisees,advisor_adv_inst_t_3,Timing info
Study S2 Advisees,advisor_advice,Advice
Study S2 Advisees,advisor_advice_t_3,Timing info
Study S2 Advisees,advisor_subexp,"How experienced do you think you were with Colorlink before you took this study, compared to most people?"
Study S2 Advisees,advisor_subskill,"How skilled do you think you were with Colorlink before you took this study, compared to most people?"
Study S2 Advisees,advisor_input,Advisor input device
Study S2 Advisees,advisor_browser_report,Advisor browser
Study S2 Advisees,advisor_avg_perf,How well do you think the average person does at the game you played today?
Study S2 Advisees,advisor_adv_eff_1,"Earlier in this study, you wrote advice to a future participant who will play the Colorlink game. How much do you think your advice will help them improve?"
Study S2 Advisees,advisor_age,Advisor age
Study S2 Advisees,advisor_gender,Advisor gender
Study S2 Advisees,advisor_vision,Advisor color vision
Study S2 Advisees,advisor_language,Advisor language
Study S2 Advisees,advisor_language2,Advisor language (other)
Study S2 Advisees,StudyGuess.y,Hypothesis guess
Study S2 Advisees,Comments.y,Other comments
Study S2 Advisees,advisor_board_order,Display order of boards
Study S2 Advisees,advisor_b1,Board display order by name
Study S2 Advisees,advisor_b2,Board display order by name
Study S2 Advisees,advisor_b3,Board display order by name
Study S2 Advisees,advisor_b4,Board display order by name
Study S2 Advisees,advisor_b5,Board display order by name
Study S2 Advisees,advisor_b6,Board display order by name
Study S2 Advisees,advisor_b7,Board display order by name
Study S2 Advisees,advisor_b8,Board display order by name
Study S2 Advisees,advisor_b9,Board display order by name
Study S2 Advisees,advisor_b10,Board display order by name
Study S2 Advisees,advisor_s1,Board score by order
Study S2 Advisees,advisor_s2,Board score by order
Study S2 Advisees,advisor_s3,Board score by order
Study S2 Advisees,advisor_s4,Board score by order
Study S2 Advisees,advisor_s5,Board score by order
Study S2 Advisees,advisor_s6,Board score by order
Study S2 Advisees,advisor_s7,Board score by order
Study S2 Advisees,advisor_s8,Board score by order
Study S2 Advisees,advisor_s9,Board score by order
Study S2 Advisees,advisor_s10,Board score by order
Study S2 Advisees,baseline,Advisee baseline performance
Study S3a,Progress,Percent of study finished as measured by Qualtrics
Study S3a,Duration (in seconds),Study duration in seconds
Study S3a,Finished,Did the participant finish the entire study?
Study S3a,ResponseId,Anonymized Qualtrics Response ID
Study S3a,t_consent_First Click,Timing info: First click on page
Study S3a,t_consent_Last Click,Timing info: Last click on page
Study S3a,t_consent_Page Submit,Timing info: Total time to submit current page
Study S3a,t_consent_Click Count,Timing info: Total number of clicks on page
Study S3a,t_landing_First Click,Timing info: First click on page
Study S3a,t_landing_Last Click,Timing info: Last click on page
Study S3a,t_landing_Page Submit,Timing info: Total time to submit current page
Study S3a,t_landing_Click Count,Timing info: Total number of clicks on page
Study S3a,inst1_t_First Click,Timing info: First click on page
Study S3a,inst1_t_Last Click,Timing info: Last click on page
Study S3a,inst1_t_Page Submit,Timing info: Total time to submit current page
Study S3a,inst1_t_Click Count,Timing info: Total number of clicks on page
Study S3a,inst2_t_First Click,Timing info: First click on page
Study S3a,inst2_t_Last Click,Timing info: Last click on page
Study S3a,inst2_t_Page Submit,Timing info: Total time to submit current page
Study S3a,inst2_t_Click Count,Timing info: Total number of clicks on page
Study S3a,cat_t_First Click,Timing info: First click on page
Study S3a,cat_t_Last Click,Timing info: Last click on page
Study S3a,cat_t_Page Submit,Timing info: Total time to submit current page
Study S3a,cat_t_Click Count,Timing info: Total number of clicks on page
Study S3a,cat_c,Completion code
Study S3a,eise_t_First Click,Timing info: First click on page
Study S3a,eise_t_Last Click,Timing info: Last click on page
Study S3a,eise_t_Page Submit,Timing info: Total time to submit current page
Study S3a,eise_t_Click Count,Timing info: Total number of clicks on page
Study S3a,eise_c,Completion code
Study S3a,adv_inst_t_First Click,Timing info: First click on page
Study S3a,adv_inst_t_Last Click,Timing info: Last click on page
Study S3a,adv_inst_t_Page Submit,Timing info: Total time to submit current page
Study S3a,adv_inst_t_Click Count,Timing info: Total number of clicks on page
Study S3a,adv_long,How would receiving this advice affect the person's performance on the task? 
Study S3a,adv_medium,How would receiving this advice affect the person's performance on the task? 
Study S3a,adv_short,How would receiving this advice affect the person's performance on the task? 
Study S3a,prev_exp,Previous experience with the task
Study S3a,prev_freq,How often playing the game
Study S3a,avg_perf_1,How skilled are you compared to most people at the game
Study S3a,input,Input device
Study S3a,input_7_TEXT,Input device (other)
Study S3a,age,Participant age
Study S3a,gender,Participant gender
Study S3a,catch,Answer to attentional catch question
Study S3a,catch_4_TEXT,Answer to attentional catch question (free repsonse)
Study S3a,language,Language
Study S3a,language_3_TEXT,Language (other)
Study S3a,language_2_TEXT,Language (other)
Study S3a,bugreport,"Reporting any bugs, errors or glitches in study"
Study S3a,hyp,Guessing what the hypothesis is
Study S3a,comments,Any other comments
Study S3a,Fragment1,Embedded data to determine displayed advice text fragments
Study S3a,Fragment2,Embedded data to determine displayed advice text fragments
Study S3a,Fragment3,Embedded data to determine displayed advice text fragments
Study S3a,Fragment4,Embedded data to determine displayed advice text fragments
Study S3a,Fragment5,Embedded data to determine displayed advice text fragments
Study S3a,Fragment6,Embedded data to determine displayed advice text fragments
Study S3a,Fragment7,Embedded data to determine displayed advice text fragments
Study S3a,F1,Embedded data to determine displayed advice text fragments
Study S3a,F2,Embedded data to determine displayed advice text fragments
Study S3a,F3,Embedded data to determine displayed advice text fragments
Study S3a,F4,Embedded data to determine displayed advice text fragments
Study S3a,frag_1,Embedded data to determine displayed advice text fragments
Study S3a,frag_2,Embedded data to determine displayed advice text fragments
Study S3a,frag_3,Embedded data to determine displayed advice text fragments
Study S3a,frag_4,Embedded data to determine displayed advice text fragments
Study S3a,frag_5,Embedded data to determine displayed advice text fragments
Study S3a,frag_6,Embedded data to determine displayed advice text fragments
Study S3a,frag_7,Embedded data to determine displayed advice text fragments
Study S3a,frag_8,Embedded data to determine displayed advice text fragments
Study S3a,frag_9,Embedded data to determine displayed advice text fragments
Study S3a,frag_10,Embedded data to determine displayed advice text fragments
Study S3a,frag_11,Embedded data to determine displayed advice text fragments
Study S3a,full_1,Embedded data to determine displayed advice text fragments
Study S3a,full_2,Embedded data to determine displayed advice text fragments
Study S3a,full_3,Embedded data to determine displayed advice text fragments
Study S3a,full_4,Embedded data to determine displayed advice text fragments
Study S3a,full_5,Embedded data to determine displayed advice text fragments
Study S3a,full_6,Embedded data to determine displayed advice text fragments
Study S3a,full_7,Embedded data to determine displayed advice text fragments
Study S3a,full_8,Embedded data to determine displayed advice text fragments
Study S3a,full_9,Embedded data to determine displayed advice text fragments
Study S3a,full_10,Embedded data to determine displayed advice text fragments
Study S3a,full_11,Embedded data to determine displayed advice text fragments
Study S3a,ResponseID,Anonymized Qualtrics Response ID
Study S3a,Q_TotalDuration,Study duration in seconds
Study S3a,inst_bar,Answer to instructional comprehension checks
Study S3a,inst_crab,Answer to instructional comprehension checks
Study S3a,inst_barb,Answer to instructional comprehension checks
Study S3a,inst_mat,Answer to instructional comprehension checks
Study S3a,advicerating_DO,Display order of sentences
Study S3b,Progress,Percent of study finished as measured by Qualtrics
Study S3b,Duration (in seconds),Study duration in seconds
Study S3b,Finished,Did the participant finish the entire study?
Study S3b,ResponseId,Anonymized Qualtrics Response ID
Study S3b,t_consent_First Click,Timing info: First click on page
Study S3b,t_consent_Last Click,Timing info: Last click on page
Study S3b,t_consent_Page Submit,Timing info: Total time to submit current page
Study S3b,t_consent_Click Count,Timing info: Total number of clicks on page
Study S3b,t_landing_First Click,Timing info: First click on page
Study S3b,t_landing_Last Click,Timing info: Last click on page
Study S3b,t_landing_Page Submit,Timing info: Total time to submit current page
Study S3b,t_landing_Click Count,Timing info: Total number of clicks on page
Study S3b,inst1_t_First Click,Timing info: First click on page
Study S3b,inst1_t_Last Click,Timing info: Last click on page
Study S3b,inst1_t_Page Submit,Timing info: Total time to submit current page
Study S3b,inst1_t_Click Count,Timing info: Total number of clicks on page
Study S3b,inst2_t_First Click,Timing info: First click on page
Study S3b,inst2_t_Last Click,Timing info: Last click on page
Study S3b,inst2_t_Page Submit,Timing info: Total time to submit current page
Study S3b,inst2_t_Click Count,Timing info: Total number of clicks on page
Study S3b,cat_t_First Click,Timing info: First click on page
Study S3b,cat_t_Last Click,Timing info: Last click on page
Study S3b,cat_t_Page Submit,Timing info: Total time to submit current page
Study S3b,cat_t_Click Count,Timing info: Total number of clicks on page
Study S3b,cat_c,Completion code
Study S3b,eise_t_First Click,Timing info: First click on page
Study S3b,eise_t_Last Click,Timing info: Last click on page
Study S3b,eise_t_Page Submit,Timing info: Total time to submit current page
Study S3b,eise_t_Click Count,Timing info: Total number of clicks on page
Study S3b,eise_c,Completion code
Study S3b,adv_inst_t_First Click,Timing info: First click on page
Study S3b,adv_inst_t_Last Click,Timing info: Last click on page
Study S3b,adv_inst_t_Page Submit,Timing info: Total time to submit current page
Study S3b,adv_inst_t_Click Count,Timing info: Total number of clicks on page
Study S3b,adv_long_1,How would receiving this advice affect the person's performance on the task? 
Study S3b,adv_medium_1,How would receiving this advice affect the person's performance on the task? 
Study S3b,adv_short_1,How would receiving this advice affect the person's performance on the task? 
Study S3b,prev_exp,Previous experience with the task
Study S3b,prev_freq,How often playing the game
Study S3b,avg_perf_1,How skilled are you compared to most people at the game
Study S3b,input,Input device
Study S3b,input_7_TEXT,Input device (other)
Study S3b,age,Participant age
Study S3b,gender,Participant gender
Study S3b,catch,Answer to attentional catch question
Study S3b,catch_4_TEXT,Answer to attentional catch question (free repsonse)
Study S3b,language,Language
Study S3b,language_3_TEXT,Language (other)
Study S3b,language_2_TEXT,Language (other)
Study S3b,bugreport,"Reporting any bugs, errors or glitches in study"
Study S3b,hyp,Guessing what the hypothesis is
Study S3b,comments,Any other comments
Study S3b,Fragment1,Embedded data to determine displayed advice text fragments
Study S3b,Fragment2,Embedded data to determine displayed advice text fragments
Study S3b,Fragment3,Embedded data to determine displayed advice text fragments
Study S3b,Fragment4,Embedded data to determine displayed advice text fragments
Study S3b,Fragment5,Embedded data to determine displayed advice text fragments
Study S3b,Fragment6,Embedded data to determine displayed advice text fragments
Study S3b,Fragment7,Embedded data to determine displayed advice text fragments
Study S3b,F1,Embedded data to determine displayed advice text fragments
Study S3b,F2,Embedded data to determine displayed advice text fragments
Study S3b,F3,Embedded data to determine displayed advice text fragments
Study S3b,F4,Embedded data to determine displayed advice text fragments
Study S3b,frag_1,Embedded data to determine displayed advice text fragments
Study S3b,frag_2,Embedded data to determine displayed advice text fragments
Study S3b,frag_3,Embedded data to determine displayed advice text fragments
Study S3b,frag_4,Embedded data to determine displayed advice text fragments
Study S3b,frag_5,Embedded data to determine displayed advice text fragments
Study S3b,frag_6,Embedded data to determine displayed advice text fragments
Study S3b,frag_7,Embedded data to determine displayed advice text fragments
Study S3b,frag_8,Embedded data to determine displayed advice text fragments
Study S3b,frag_9,Embedded data to determine displayed advice text fragments
Study S3b,frag_10,Embedded data to determine displayed advice text fragments
Study S3b,frag_11,Embedded data to determine displayed advice text fragments
Study S3b,full_1,Embedded data to determine displayed advice text fragments
Study S3b,full_2,Embedded data to determine displayed advice text fragments
Study S3b,full_3,Embedded data to determine displayed advice text fragments
Study S3b,full_4,Embedded data to determine displayed advice text fragments
Study S3b,full_5,Embedded data to determine displayed advice text fragments
Study S3b,full_6,Embedded data to determine displayed advice text fragments
Study S3b,full_7,Embedded data to determine displayed advice text fragments
Study S3b,full_8,Embedded data to determine displayed advice text fragments
Study S3b,full_9,Embedded data to determine displayed advice text fragments
Study S3b,full_10,Embedded data to determine displayed advice text fragments
Study S3b,full_11,Embedded data to determine displayed advice text fragments
Study S3b,ResponseID,Anonymized Qualtrics Response ID
Study S3b,Q_TotalDuration,Study duration in seconds
Study S3b,inst_bar,Answer to instructional comprehension checks
Study S3b,inst_crab,Answer to instructional comprehension checks
Study S3b,inst_barb,Answer to instructional comprehension checks
Study S3b,inst_mat,Answer to instructional comprehension checks
Study S3b,advicerating_DO,Display order of sentences
Study S4a Advice Topics from Study 2,advisor,Advisor ID
Study S4a Advice Topics from Study 2,advice_text,Advice Text
Study S4a Advice Topics from Study 2,n_words,Category: Kinds of Words
Study S4a Advice Topics from Study 2,n_letters,Category: Letters
Study S4a Advice Topics from Study 2,n_mechanics,Category: Mechanics
Study S4a Advice Topics from Study 2,n_spatial,Category: Spatial
Study S4a Advice Topics from Study 2,n_speedPacingMindset,Category: Speed/Pacing/Mindset
Study S4a Advice Topics from Study 2,n_wordLength,Category: Word Length
Study S4b,participant,Participant ID
Study S4b,Progress,Percent of study finished as measured by Qualtrics
Study S4b,Duration..in.seconds.,Study duration in seconds
Study S4b,Finished,Did the participant finish the entire study?
Study S4b,ResponseId,Anonymized Qualtrics Response ID
Study S4b,DistributionChannel,DistributionChannel
Study S4b,UserLanguage,System language
Study S4b,meta_Browser,Browser
Study S4b,meta_Version,Browser version
Study S4b,meta_Operating.System,OS
Study S4b,meta_Resolution,Screen resolution
Study S4b,cat_json,Completion code
Study S4b,eise_json,Completion code
Study S4b,lnpk_json,Completion code
Study S4b,mpeh_json,Completion code
Study S4b,woln_json,Completion code
Study S4b,demi_json,Completion code
Study S4b,nwsr_json,Completion code
Study S4b,prev_exp,Previous experience with the task
Study S4b,prev_last,(if yes to previous) Most recent time playing before today
Study S4b,prev_first,First time playing the game
Study S4b,prev_freq,How often playing the game
Study S4b,adv_exp,How skilled was advice writer compared to average people
Study S4b,adv_skill,How skilled was advice writer compared to you
Study S4b,adv_helpf,How helpful was the advice
Study S4b,adv_imp_1,How much did the advice help you improve
Study S4b,rel_exp,How experience are you compared to most people at the game
Study S4b,rel_skill,How skilled are you compared to most people at the game
Study S4b,avg_perf_1,How well do you think the average person does on one round of the game you played today (avg num of words found in 1 minute
Study S4b,adv_perf_1,How well do you think the person who wrote your advice does at the game you played today?
Study S4b,input,Input device
Study S4b,input_7_TEXT,Input device (other)
Study S4b,browser,Browser
Study S4b,browser_6_TEXT,Browser (other)
Study S4b,animals,Animals named
Study S4b,age,Age
Study S4b,gender,Gender
Study S4b,catch,Answer to attentional catch question
Study S4b,catch_4_TEXT,Answer to attentional catch question (free repsonse)
Study S4b,language,Language
Study S4b,language_3_TEXT,Language (other)
Study S4b,language_2_TEXT,Language (other)
Study S4b,bugreport,"Reporting any bugs, errors or glitches in study"
Study S4b,hyp,Guessing what the hypothesis is
Study S4b,comments,Any other comments
Study S4b,condition,Condition
Study S4b,ResponseID,Anonymized Qualtrics Response ID
Study S4b,Q_TotalDuration,Study duration in seconds
Study S4b,inst_bar,Answer to instructional comprehension checks
Study S4b,inst_crab,Answer to instructional comprehension checks
Study S4b,inst_barb,Answer to instructional comprehension checks
Study S4b,inst_mat,Answer to instructional comprehension checks
Study S4b,eise_c,Board score
Study S4b,lnpk_c,Board score
Study S4b,mpeh_c,Board score
Study S4b,woln_c,Board score
Study S4b,demi_c,Board score
Study S4b,nwsr_c,Board score
