condition,advisor,participant,Answer.surveycode,Finished,Q_TotalDuration,iud_c,advc_i_t_3,adv_t_3,hjt_c,ypl_c,sqt_c,jfm_c,lnc_c,Prev.Games_1,Prev.Games_2,Prev.Games_3,Prev.Games_3_TEXT,Prev.Games_4,Play.Rate,PlayHistor,adv_skl,adv_comp,adv_help_hyp,adv_eff_hyp,adv_help,adv_eff_1,Subjec.Exp,SubjSkill,avg_perf_1_TEXT,adv_perf_1_TEXT,input,input_TEXT,browser,age,gender,randomized_order,Exclude,Exclude_why,baseline,advisor_pid,advisor_start.date,advisor_ResponseID,advisor_duration,advisor_browser_meta,advisor_consent_t_3,advisor_Intro_t_3,advisor_Line_t_3,advisor_Line2_c,advisor_Practice_c,advisor_itz_c,advisor_iud_c,advisor_hjt_c,advisor_ypl_c,advisor_sqt_c,advisor_yto_c,advisor_jfm_c,advisor_kte_c,advisor_bga_c,advisor_lnc_c,advisor_board_mean,advisor_board_median,advisor_adv_inst_t_3,advisor_advice,advisor_advice_t_3,advisor_subexp,advisor_subskill,advisor_input,advisor_browser_report,advisor_avg_perf,advisor_adv_eff_1,advisor_age,advisor_gender,advisor_vision,advisor_language,advisor_language2,StudyGuess.y,Comments.y,advisor_board_order,advisor_b1,advisor_b2,advisor_b3,advisor_b4,advisor_b5,advisor_b6,advisor_b7,advisor_b8,advisor_b9,advisor_b10,advisor_s1,advisor_s2,advisor_s3,advisor_s4,advisor_s5,advisor_s6,advisor_s7,advisor_s8,advisor_s9,advisor_s10,baseline
treatment,ap10,1387,R_3CTwbHOqPQyA4aI,1,843,33.058,21.994,16.867,60.211,45.466,37.77,32.619,27.824,NA,NA,NA,NA,1,NA,NA,2,2,,,4,20,2,2,40,40,mouse,NA,Google Chrome,48,Male,adv_header|ap10|adv_t|Q151,NA,NA,33.058,73,42289.78889,R_2TY7Ofma2rrKiIJ,1132,Chrome,156.967,63.243,9.191,5.831,99.284,14.142,28.894,39.789,18.17,28.09,23.082,80.072,24.601,16.696,36.657,31.0193,26.3455,17.707,For me the trick to this game was to keep the entire board in mind at all times. When you initially start the most obvious move is to immediately match all the colors that are extremely close to each other. I then look for the next and then the next in closeness. You just have to be mindful of other connections that need to be made,61.156,1,1,mouse,Google Chrome,50,80,48,Male,1,1,NA,not quite sure...,no,lnc|kte|ypl|bga|itz|jfm|iud|sqt|hjt|yto,lnc_c,kte_c,ypl_c,bga_c,itz_c,jfm_c,iud_c,sqt_c,hjt_c,yto_c,36.657,24.601,18.17,16.696,14.142,80.072,28.894,28.09,39.789,23.082,33.058
treatment,ap01,666,R_2dz75lLyRdU35CR,1,394,33.071,20.757,14.927,25.655,15.018,18.621,30.936,22.943,NA,NA,NA,NA,1,NA,NA,3,3,,,6,60,1,2,20,15,mouse,NA,Google Chrome,21,Male,adv_header|ap01|adv_t|Q151,NA,NA,33.071,65,42289.78681,R_3JYT3RQm5ZRRzDb,724,Chrome,8.045,26.026,6.711,3.278,18.877,20.501,32.168,85.982,15.9,41.901,16.275,15.409,17.208,17.927,36.015,29.9286,19.214,43.417,Connect the dots closest to each other first.,24.225,1,2,mouse,Google Chrome,25,38,25,Male,1,1,NA,Player skill perception,NA,lnc|iud|sqt|itz|ypl|kte|bga|hjt|yto|jfm,lnc_c,iud_c,sqt_c,itz_c,ypl_c,kte_c,bga_c,hjt_c,yto_c,jfm_c,36.015,32.168,41.901,20.501,15.9,17.208,17.927,85.982,16.275,15.409,33.071
treatment,ap33,552,R_eqZPoTVQglBiUCt,1,547,33.104,23.353,13.187,37.928,39.656,23.529,20.575,17.975,1,NA,NA,NA,NA,5,4,1,1,,,4,0,2,2,30,35,mouse,NA,Google Chrome,35,Female,adv_header|ap33|adv_t|Q151,NA,NA,33.104,47,42289.78403,R_27pwGT93rzOTm0D,896,Chrome,2.424,20.256,5.083,17.793,31.193,33.103,33.873,23.966,28.985,72.53,15.759,43.151,24.937,132.912,73.799,48.3015,33.488,20.063,If you can't seem to figure it out then start over and do something different.,13.974,2,3,mouse,Google Chrome,80,51,33,Female,1,1,NA,To see how well people could perform.,No.,ypl|yto|jfm|lnc|kte|bga|iud|sqt|hjt|itz,ypl_c,yto_c,jfm_c,lnc_c,kte_c,bga_c,iud_c,sqt_c,hjt_c,itz_c,28.985,15.759,43.151,73.799,24.937,132.912,33.873,72.53,23.966,33.103,33.104
treatment,ap70,583,R_2AF2dFh0ZLs2erT,1,575,33.111,17.813,13.564,79.788,34.46,23.251,35.879,41.326,1,NA,NA,NA,NA,3,2,1,1,,,1,0,3,3,120,150,mouse,NA,Google Chrome,46,Female,adv_header|ap70|adv_t|Q151,NA,NA,33.111,68,42289.7875,R_bl2QA9lUeg4Sa4x,1299,Chrome,8.109,20.823,9.22,7.371,39.999,70.708,79.402,74.641,98.97,119.331,40.118,68.892,72.953,44.312,87.518,75.6845,73.797,16.807,"Try to connect to two furthest away first. Then work the shortest distance. You will encounter paths that cross, but that is okay. Once you have a few connected the path reveals itself. ",48.353,2,2,trackpad,Google Chrome,75,19,36,Female,2,1,NA,Reasoning? Estimation of ability?,NA,ypl|kte|lnc|jfm|iud|hjt|sqt|bga|yto|itz,ypl_c,kte_c,lnc_c,jfm_c,iud_c,hjt_c,sqt_c,bga_c,yto_c,itz_c,98.97,72.953,87.518,68.892,79.402,74.641,119.331,44.312,40.118,70.708,33.111
control,ap00,2216,R_0TbtKXhelhKED85,1,454,33.143,,,30.449,28.794,37.321,3.357,20.552,NA,NA,NA,NA,1,NA,NA,,,2,2,,,1,2,35,,touchscreen,NA,Mozilla Firefox,24,Male,,NA,NA,33.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap17,849,R_2zpC4KWsZnQXjPU,1,749,33.19,22.83,38.584,62.168,60.769,36.678,18.52,35.724,NA,NA,NA,NA,1,NA,NA,2,2,,,3,13,1,1,45,30,mouse,NA,Internet Explorer,36,Female,adv_header|ap17|adv_t|Q151,NA,NA,33.19,32,42289.78403,R_DUyg26dF9lYeHlv,920,Firefox,10.306,17.754,11.154,4.05,14.409,21.829,16.944,42.513,50.93,29.239,32.551,16.873,28.31,16.964,39.071,29.5224,28.7745,27.409,First start with the dots of the same color that are close to each other and connect those ones first. Then you will be able to see a distinct path for the longer lines of the same color to connect. Once you complete the first few it gets easier each time.,145.555,1,1,mouse,Mozilla Firefox,24,40,28,Female,1,1,NA,How people write instructions and give advice.,I thought this was a very fun task. Thank you,ypl|sqt|hjt|kte|lnc|itz|iud|jfm|yto|bga,ypl_c,sqt_c,hjt_c,kte_c,lnc_c,itz_c,iud_c,jfm_c,yto_c,bga_c,50.93,29.239,42.513,28.31,39.071,21.829,16.944,16.873,32.551,16.964,33.19
treatment,ap13,221,R_2ZJr5cdO2dau6Po,1,640,33.227,33.005,13.722,23.958,23.231,24.445,29.873,36.744,1,NA,NA,NA,NA,3,3,2,2,,,4,47,2,3,28,40,trackpad,NA,Google Chrome,21,Male,adv_header|ap13|adv_t|Q151,NA,NA,33.227,99,42289.81667,R_3CPFibPRGOf1Zq0,596,Chrome,15.058,11.049,4.103,4.337,22.339,59.744,20.975,35.886,19.108,31.188,26.158,40.408,16.124,19.242,27.6,29.6433,26.879,16.651,try starting by connecting the dots that are closest together first. then weave dots together around those. finish around the perimeter of the board last.,31.67,2,2,mouse,Google Chrome,20,52,31,Female,1,1,NA,unsure,NA,itz|hjt|bga|lnc|sqt|jfm|ypl|yto|kte|iud,itz_c,hjt_c,bga_c,lnc_c,sqt_c,jfm_c,ypl_c,yto_c,kte_c,iud_c,59.744,35.886,19.242,27.6,31.188,40.408,19.108,26.158,16.124,20.975,33.227
control,ap00,2545,R_3xXELFTM24N4aGd,1,379,33.235,,,27.171,21.69,20.176,26.67,31.24,1,NA,NA,NA,NA,3,3,,,2,9,,,2,2,30,,touchscreen,NA,Mozilla Firefox,27,Male,,NA,NA,33.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap11,1451,R_cU3ilKZyzarLfqh,1,452,33.241,16.36,13.449,17.51,20.5,16.815,13.634,19.652,NA,NA,NA,NA,1,NA,NA,2,3,,,5,20,1,1,20,15,mouse,NA,Google Chrome,40,Female,adv_header|ap11|adv_t|Q151,NA,NA,33.241,46,42289.78403,R_22kRZzZjZHmXqPK,836,Firefox,2.223,13.86,6.084,2.49,26.805,52.152,28.65,22.97,48.141,18.619,24.17,61.776,34.458,22.379,23.127,33.6442,26.41,24.251,Connect the colors that are closer together first. Then fill up the rest of the space with the farther apart colors. Try to hug the walls whenever possible. Try to leave plenty of space in the middle of the board.,97.186,1,1,mouse,Mozilla Firefox,30,20,29,Male,1,1,NA,to find out how popl give advises for puzzle games,NA,hjt|ypl|yto|itz|iud|bga|lnc|kte|jfm|sqt,hjt_c,ypl_c,yto_c,itz_c,iud_c,bga_c,lnc_c,kte_c,jfm_c,sqt_c,22.97,48.141,24.17,52.152,28.65,22.379,23.127,34.458,61.776,18.619,33.241
treatment,ap18,227,R_BWhC2aW2WoJNhOF,1,533,33.247,23.494,16.698,34.104,24.943,24.03,40.206,24.191,NA,NA,NA,NA,1,NA,NA,2,1,,,3,10,1,2,45,40,mouse,NA,Mozilla Firefox,29,Male,adv_header|ap18|adv_t|Q151,NA,NA,33.247,34,42289.78403,R_1mXf5zzbu68s5xn,1349,Chrome,10.243,32.986,6.242,3.74,42.61,40.394,30.355,20.4,21.628,27.304,24.261,37.15,26.672,53.255,42.17,32.3589,28.8295,50.097,Much easier using a normal mouse on a hard surface. Make sure when you're connecting lines you don't accidentally hit another line or it breaks it up and you have to redo it from where you hit it. Boards aren't too complicated. You just need to take a few seconds at the start and look at the whole board. I found it easier to connect the farthest dots first and work my way down to the ones that were closest to each other. Don't really need any sort of strategy. Just try and draw the lines on the outside of the board and work your way into the middle.,311.669,1,1,mouse,Google Chrome,25,31,34,Male,1,1,NA,how well we give advice,NA,kte|jfm|lnc|itz|sqt|yto|bga|iud|hjt|ypl,kte_c,jfm_c,lnc_c,itz_c,sqt_c,yto_c,bga_c,iud_c,hjt_c,ypl_c,26.672,37.15,42.17,40.394,27.304,24.261,53.255,30.355,20.4,21.628,33.247
treatment,ap71,989,R_3PTxo6ZiEkYNuv4,1,655,33.272,26.791,13.585,71.945,67.531,36.718,25.582,39.616,NA,NA,NA,NA,1,NA,NA,1,1,,,2,0,2,2,40,60,trackpad,NA,Google Chrome,27,Male,adv_header|ap71|adv_t|Q151,NA,NA,33.272,12,42289.78333,R_1CmEjQdDczdtpdZ,1300,Chrome,5.209,20.957,4.782,5.518,53.885,25.967,82.127,127.246,34.733,106.69,117.929,24.388,192.481,37.301,80.052,82.8914,81.0895,16.843,the only advice is keep trying,26.211,1,1,mouse,Google Chrome,50,27,40,Female,1,1,NA,it was interesting,NA,lnc|hjt|yto|ypl|sqt|itz|bga|iud|jfm|kte,lnc_c,hjt_c,yto_c,ypl_c,sqt_c,itz_c,bga_c,iud_c,jfm_c,kte_c,80.052,127.246,117.929,34.733,106.69,25.967,37.301,82.127,24.388,192.481,33.272
treatment,ap20,861,R_2TMEkRfaXSHtYOZ,1,622,33.311,22.098,14.366,22.21,54.009,29.353,14.28,20.578,1,NA,NA,NA,NA,5,4,2,2,,,4,0,2,2,25,25,mouse,NA,Google Chrome,34,Female,adv_header|ap20|adv_t|Q151,NA,NA,33.311,79,42289.79236,R_1MKZOmoHd9DdSGI,730,Chrome,4.697,20.214,5.384,4.533,32.501,20.796,29.375,35.971,29.109,39,26.688,28.663,28.051,34.253,18.74,29.0646,28.886,16.845,The only piece of advice I can really offer is just go for it. don't try to strategize or think it out. Just start and see if certain moves work.  / ,71.513,2,2,mouse,Google Chrome,30,31,22,Female,1,1,NA,giving people advice on colorlink / ,NA,iud|itz|sqt|lnc|kte|yto|jfm|hjt|ypl|bga,iud_c,itz_c,sqt_c,lnc_c,kte_c,yto_c,jfm_c,hjt_c,ypl_c,bga_c,29.375,20.796,39,18.74,28.051,26.688,28.663,35.971,29.109,34.253,33.311
treatment,ap20,829,R_oYQ28JK2TunEuzL,1,589,33.36,17.04,13.719,35.431,80.999,33.683,31.531,37.467,NA,NA,NA,NA,1,NA,NA,2,2,,,5,50,1,1,35,35,mouse,NA,Google Chrome,44,Male,adv_header|ap20|adv_t|Q151,NA,NA,33.36,79,42289.79236,R_1MKZOmoHd9DdSGI,730,Chrome,4.697,20.214,5.384,4.533,32.501,20.796,29.375,35.971,29.109,39,26.688,28.663,28.051,34.253,18.74,29.0646,28.886,16.845,The only piece of advice I can really offer is just go for it. don't try to strategize or think it out. Just start and see if certain moves work.  / ,71.513,2,2,mouse,Google Chrome,30,31,22,Female,1,1,NA,giving people advice on colorlink / ,NA,iud|itz|sqt|lnc|kte|yto|jfm|hjt|ypl|bga,iud_c,itz_c,sqt_c,lnc_c,kte_c,yto_c,jfm_c,hjt_c,ypl_c,bga_c,29.375,20.796,39,18.74,28.051,26.688,28.663,35.971,29.109,34.253,33.36
control,ap00,2262,R_2wcUFj6PMSY9Q5C,1,420,33.36,,,29.61,22.616,23.312,12.32,15.12,1,NA,NA,NA,NA,4,4,,,3,20,,,2,2,30,,touchscreen,NA,Mozilla Firefox,26,Male,,NA,NA,33.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap30,784,R_2zU6p2s68h0jFnn,1,673,33.373,19.977,13.276,27.307,18.133,38.012,60.313,58.55,NA,NA,NA,NA,1,NA,NA,1,1,,,2,18,1,2,50,60,mouse,NA,Google Chrome,33,Male,adv_header|ap30|adv_t|Q151,NA,NA,33.373,67,42289.7875,R_1QJzgjXdoIK4aQ5,890,Firefox,6.461,34.53,6.772,5.053,55.426,31.527,29.198,32.434,20.789,31.338,71.836,42.318,56.598,20.371,52.33,38.8739,31.9805,27.401,"Just go for it, start connecting colors right away and it will quickly become apparent how to complete the board",77.17,1,1,trackpad,Mozilla Firefox,45,50,39,Male,1,1,NA,I honestly have no idea,none,yto|itz|jfm|hjt|kte|sqt|bga|iud|lnc|ypl,yto_c,itz_c,jfm_c,hjt_c,kte_c,sqt_c,bga_c,iud_c,lnc_c,ypl_c,71.836,31.527,42.318,32.434,56.598,31.338,20.371,29.198,52.33,20.789,33.373
treatment,ap63,483,R_3gZZq9JGn8dOECZ,1,781,33.4,20.253,53.623,37.64,18.985,47.734,33.011,4.2,NA,NA,NA,NA,1,NA,NA,2,3,,,3,0,2,2,35,30,mouse,NA,Google Chrome,37,Male,adv_header|ap63|adv_t|Q151,NA,NA,33.4,89,42289.80139,R_29bHTUC2CIKSmRv,1634,Chrome,49.375,15.359,5.164,4.662,68.268,37.857,55.035,237.868,148.137,53.889,187.818,50.589,108.823,44.493,39.58,96.4089,54.462,16.272,Experiment at first. Try to see where certain color lines would HAVE to fill in the space in order for all the spaces to be filled.,51.848,1,1,mouse,Google Chrome,200,13,25,Male,1,1,NA,Probably had something to do without our ability to describe our own strategies and methods.,No comments.,iud|kte|hjt|sqt|bga|itz|lnc|ypl|jfm|yto,iud_c,kte_c,hjt_c,sqt_c,bga_c,itz_c,lnc_c,ypl_c,jfm_c,yto_c,55.035,108.823,237.868,53.889,44.493,37.857,39.58,148.137,50.589,187.818,33.4
control,ap00,2109,R_1mKowGv001e3Jg7,1,580,33.416,,,27.303,31.735,34.432,27.847,26.806,NA,NA,NA,NA,1,NA,NA,,,3,41,,,1,2,30,,touchscreen,NA,Google Chrome,53,Male,,NA,NA,33.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,ap00,2610,R_2bTq3NV7nVgTIXH,1,677,33.488,,,54.807,54.447,36.524,35.777,24.493,NA,NA,NA,NA,1,NA,NA,,,4,0,,,2,2,30,,mouse,NA,Google Chrome,41,Male,,NA,NA,33.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,ap00,2408,R_Wiyef65Uhl7TyuJ,1,556,33.5,,,54.6,32.87,22.29,26.939,21.847,1,NA,NA,NA,NA,4,3,,,2,10,,,3,3,180,,touchscreen,NA,Google Chrome,24,Male,,NA,NA,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap39,640,R_3iOm3f2VIeZpAfw,1,640,33.524,19.272,15.58,45.485,27.054,45.939,44.38,35.549,NA,NA,NA,NA,1,NA,NA,2,2,,,4,20,1,2,45,45,mouse,NA,Google Chrome,43,Male,adv_header|ap39|adv_t|Q151,NA,NA,33.524,24,42289.78403,R_3rNuAkGTy4QXD2q,951,Chrome,15.938,20.593,9.227,8.362,70.11,121.762,30.561,28.986,37.734,78.651,75.19,37.087,45.713,20.92,27.01,50.3614,37.4105,17.231,"I would suggest starting by connecting the dots furthest apart and closest to the edges of the board, then work your way down by then completing the next furthest, until you finish.",56.514,1,1,mouse,Google Chrome,30,75,33,Female,1,1,NA,Strategies people use for problem solving,"Fun, cool game!",itz|sqt|jfm|yto|kte|iud|bga|ypl|hjt|lnc,itz_c,sqt_c,jfm_c,yto_c,kte_c,iud_c,bga_c,ypl_c,hjt_c,lnc_c,121.762,78.651,37.087,75.19,45.713,30.561,20.92,37.734,28.986,27.01,33.524
control,ap00,2356,R_2RRoE5fVjmxT8nA,1,633,33.53,,,93.411,31.422,29.522,29.644,25.254,NA,NA,NA,NA,1,NA,NA,,,3,15,,,2,1,30,,touchscreen,NA,Google Chrome,34,Male,,NA,NA,33.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap37,954,R_2y17x64OqkN2PyG,1,852,33.557,27.674,14.103,41.01,33.242,30.5,47.287,32.352,1,NA,NA,NA,1,5,4,2,1,,,5,33,3,3,50,48,trackpad,NA,Google Chrome,44,Female,adv_header|ap37|adv_t|Q151,NA,NA,33.557,69,42289.78819,R_31oz2aXYxDqDcc8,895,Chrome,14.15,9.94,8.557,4.814,42.889,34.894,49.603,31.43,30.977,53.949,29.793,38.622,33.427,39.705,62.151,40.4551,36.758,29.569,Start by finding colors that have the closest distance and work your way up from there.,38.79,2,2,mouse,Google Chrome,35,81,27,Male,1,1,NA,Problem solving,NA,lnc|jfm|bga|kte|ypl|sqt|yto|itz|hjt|iud,lnc_c,jfm_c,bga_c,kte_c,ypl_c,sqt_c,yto_c,itz_c,hjt_c,iud_c,62.151,38.622,39.705,33.427,30.977,53.949,29.793,34.894,31.43,49.603,33.557
treatment,ap10,1398,R_O8vzh7ml3hE76bD,1,637,33.57,19.399,13.975,27.551,33.961,37.229,29.381,24.24,1,NA,NA,NA,NA,4,3,2,1,,,2,10,2,3,45,40,trackpad,NA,Mozilla Firefox,25,Male,adv_header|ap10|adv_t|Q151,NA,NA,33.57,73,42289.78889,R_2TY7Ofma2rrKiIJ,1132,Chrome,156.967,63.243,9.191,5.831,99.284,14.142,28.894,39.789,18.17,28.09,23.082,80.072,24.601,16.696,36.657,31.0193,26.3455,17.707,For me the trick to this game was to keep the entire board in mind at all times. When you initially start the most obvious move is to immediately match all the colors that are extremely close to each other. I then look for the next and then the next in closeness. You just have to be mindful of other connections that need to be made,61.156,1,1,mouse,Google Chrome,50,80,48,Male,1,1,NA,not quite sure...,no,lnc|kte|ypl|bga|itz|jfm|iud|sqt|hjt|yto,lnc_c,kte_c,ypl_c,bga_c,itz_c,jfm_c,iud_c,sqt_c,hjt_c,yto_c,36.657,24.601,18.17,16.696,14.142,80.072,28.894,28.09,39.789,23.082,33.57
treatment,ap61,897,R_2e84ELFIM8hr65w,1,472,33.58,29.574,13.463,17.932,22.434,19.477,20.011,26.496,NA,NA,NA,NA,1,NA,NA,2,2,,,3,10,2,2,40,30,trackpad,NA,Mozilla Firefox,30,Female,adv_header|ap61|adv_t|Q151,NA,NA,33.58,63,42289.78542,R_2zD68Q5HBF7WTwk,1115,Firefox,5.034,15.395,4.645,7.231,13.7,33.348,65.718,24.664,96.911,25.191,43.247,60.447,97.66,26.7,152.013,62.5899,51.847,16.378,"Start with the dots that are furthest from each other, then work the shortest distance and alternate until the end.",46.084,2,2,mouse,Mozilla Firefox,48,52,48,Male,1,1,NA,How people perceive others performance in tasks?,THANK YOU,kte|lnc|hjt|yto|bga|itz|ypl|iud|jfm|sqt,kte_c,lnc_c,hjt_c,yto_c,bga_c,itz_c,ypl_c,iud_c,jfm_c,sqt_c,97.66,152.013,24.664,43.247,26.7,33.348,96.911,65.718,60.447,25.191,33.58
control,ap00,2551,R_r9Hj0PhBaN754NX,1,487,33.6,,,30.225,16.784,33.075,12.427,35.684,NA,NA,NA,NA,1,NA,NA,,,4,25,,,1,1,25,,touchscreen,NA,Mozilla Firefox,27,Male,,NA,NA,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,ap00,2294,R_6PhHFjSF5ovACK5,1,928,33.61,,,30.183,20.61,125.8,20.433,112.652,NA,NA,NA,NA,1,NA,NA,,,3,19,,,2,3,45,,touchscreen,NA,Internet Explorer,49,Male,,NA,NA,33.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap26,1053,R_TvFKcqG5Hp24J69,1,495,33.62,17.051,13.156,15.175,25.14,15.547,18.657,16.875,1,NA,NA,NA,NA,5,4,3,3,,,7,90,2,3,24,14,mouse,NA,Mozilla Firefox,29,Male,adv_header|ap26|adv_t|Q151,NA,NA,33.62,29,42289.78403,R_27JYvzmASlvCf0c,881,Chrome,20.116,28.931,9.225,2.692,24.848,34.014,62.138,24.823,24.226,31.484,51.722,27.528,29.874,60.354,27.221,37.3384,30.679,27.757,"Generally try to start with the color that has the two dots that are closest together, knocking those out will clear up how the board will look at the end. Also try to work from outside in, taking care of all the outside squares first so that you don't finish a level with a random square available.",69.642,1,1,trackpad,Google Chrome,45,57,25,Male,1,1,NA,how well people can explain what they use to be successful ,NA,iud|ypl|sqt|lnc|bga|hjt|itz|kte|yto|jfm,iud_c,ypl_c,sqt_c,lnc_c,bga_c,hjt_c,itz_c,kte_c,yto_c,jfm_c,62.138,24.226,31.484,27.221,60.354,24.823,34.014,29.874,51.722,27.528,33.62
control,ap00,2381,R_3nHrI9CkuXiLU0U,1,630,33.62,,,54.489,24.159,37.447,19.771,30.049,1,NA,NA,NA,NA,5,4,,,4,6,,,2,2,20,,touchscreen,NA,Google Chrome,20,Female,,NA,NA,33.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap24,1748,R_1jPPRL5FHJk1qXZ,1,513,33.651,17.532,13.538,18.172,25.754,19.785,33.139,16.753,NA,NA,NA,NA,1,NA,NA,1,1,,,2,2,3,1,30,16,trackpad,NA,Google Chrome,21,Male,adv_header|ap24|adv_t|Q151,NA,NA,33.651,96,42289.81319,R_WxmlHMp5SFv2cmd,815,Chrome,17.628,14.021,8.003,4.065,14.904,14.057,20.68,54.36,29.283,33.416,52.511,17,31.703,23.111,42.702,31.8823,30.493,31.818,"When it comes to connecting all the colors, set small goals. connect one color and then another, and don't be afraid to mess up. a lot of your solutions will come from failures. ",113.538,1,2,mouse,Google Chrome,40,20,29,Male,1,1,NA,n/a,NA,yto|lnc|ypl|iud|kte|sqt|hjt|jfm|itz|bga,yto_c,lnc_c,ypl_c,iud_c,kte_c,sqt_c,hjt_c,jfm_c,itz_c,bga_c,52.511,42.702,29.283,20.68,31.703,33.416,54.36,17,14.057,23.111,33.651
treatment,ap31,630,R_2BA7zZwHTyPMDO4,1,627,33.67,27.732,13.536,52.5,36.642,25.395,20.324,29.217,NA,1,NA,NA,NA,5,4,2,2,,,5,56,2,2,30,28,mouse,NA,Google Chrome,33,Male,adv_header|ap31|adv_t|Q151,NA,NA,33.67,44,42289.78403,R_3HtD0S9PTLvRFpa,961,Chrome,14.366,23.973,15.001,4.956,21.159,21.285,32.921,43.229,25.064,26.8,48.995,31.157,75.516,23.706,37.511,36.6184,32.039,24.988,"you will need to use patience.  it is important to plan your moves with care.  try to connect the close items first, then work your way up to the larger distance items.",62.282,1,2,mouse,Google Chrome,40,88,37,Female,1,1,NA,to see how one uses experience to give advice to help others.,NA,bga|sqt|itz|iud|yto|ypl|kte|hjt|lnc|jfm,bga_c,sqt_c,itz_c,iud_c,yto_c,ypl_c,kte_c,hjt_c,lnc_c,jfm_c,23.706,26.8,21.285,32.921,48.995,25.064,75.516,43.229,37.511,31.157,33.67
control,ap00,2026,R_2aKS7LvTdnJd6Ju,1,676,33.678,,,59.805,38.727,56.183,34.05,39.89,NA,NA,NA,NA,1,NA,NA,,,5,10,,,1,2,36,,touchscreen,NA,Google Chrome,33,Male,,NA,NA,33.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,ap00,2123,R_2Cfvv2VdUF2fZYO,1,655,33.679,,,41.084,39.2,31.696,41.86,30.638,NA,NA,NA,NA,1,NA,NA,,,5,45,,,1,1,35,,touchscreen,NA,Google Chrome,41,Male,,NA,NA,33.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap16,1486,R_12FQIQazQYkCtX1,1,527,33.682,16.308,31.737,58.443,18.018,22.753,71.891,31.801,1,NA,NA,NA,NA,3,5,2,2,,,3,10,2,2,38,38,mouse,NA,Google Chrome,29,Male,adv_header|ap16|adv_t|Q151,NA,NA,33.682,70,42289.78819,R_3k1BFu9epk78aVH,661,Firefox,2.349,13.904,4.383,3.573,40.014,26.307,44.202,29.038,19.933,26.052,60.281,36.285,28.766,19.101,25.663,31.5628,27.5365,17.4,Start with the largest gap between colored dots and move backwards from there.,22.109,1,2,mouse,Mozilla Firefox,35,49,32,Male,1,1,NA,not sure,NA,lnc|hjt|iud|itz|yto|bga|ypl|sqt|kte|jfm,lnc_c,hjt_c,iud_c,itz_c,yto_c,bga_c,ypl_c,sqt_c,kte_c,jfm_c,25.663,29.038,44.202,26.307,60.281,19.101,19.933,26.052,28.766,36.285,33.682
control,ap00,2351,R_2CsmsGHJ05sUqyh,1,358,33.711,,,25.479,26.34,28.278,29.986,14.75,1,NA,NA,NA,NA,3,3,,,3,20,,,2,1,25,,touchscreen,NA,Google Chrome,26,Male,,NA,NA,33.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,ap00,2472,R_3eaxM363NGAiiND,1,791,33.801,,,46.921,48.043,24.413,37.121,95.345,NA,NA,NA,NA,1,NA,NA,,,6,51,,,1,2,49,,touchscreen,NA,Mozilla Firefox,35,Male,,NA,NA,33.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
