participant,Progress,Duration..in.seconds.,Finished,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating.System,meta_Resolution,cat_json,eise_json,lnpk_json,mpeh_json,woln_json,demi_json,nwsr_json,prev_exp,prev_last,prev_first,prev_freq,adv_exp,adv_skill,adv_helpf,adv_imp_1,rel_exp,rel_skill,avg_perf_1,adv_perf_1,input,input_7_TEXT,browser,browser_6_TEXT,animals,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,condition,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,eise_c,lnpk_c,mpeh_c,woln_c,demi_c,nwsr_c
371,100,1313,TRUE,R_32XiCkI01Nsu5a1,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1600x900,8ypNC3a9kM,bfFLYk9Fct,HrfWZmbUN  ,hJ07pJoVz ,j31BnzEe5o,d7ZfpWxqQ9,E0WaezGBW,"No, I've never played any version of this game before",,,A few times a year,They were more skilled than most people,They were more skilled than me,6,61,I was less experienced than most people,I was as skilled as most people,8,10,"With a computer mouse

",,Google Chrome,,"dog, cat, eagle, bee, racoon, squirrel, rat, pig, cow, donkey, goat, snake, mongoose, whale, dolphin, tuna, rabbit, guinea pig, monkey, fish",54,Female,Other,orange,"Yes, I only spoke English growing up",,,There were none,"I don't know
",,goodadvice,R_32XiCkI01Nsu5a1,1313,1,0,0,0,13,15,16,17,16,19
372,100,1173,TRUE,R_3oRWIEgmsU3oIf1,anonymous,EN,Firefox,86,Windows NT 10.0,1093x614,yLlXk5mSIz  ,91GPOIj92e  ,f7n5j4iPdL  ,t58GYF2BYQ  ,V5H5Lge7oW  ,YSodGvCtqr  ,9vs9wn8Rc  ,"No, I've never played any version of this game before",,,A few times a year,They were more skilled than most people,They were more skilled than me,5,50,I was less experienced than most people,I was less skilled than most people,5,7,"With a computer mouse

",,Mozilla Firefox,,CAT DOG FOX GORILLA MOUSE CHIPMUNK BIRD FERRET ELEPHANT SKUNK GIRAFFE,43,Female,Other,orange,"Yes, I only spoke English growing up",,,no,don't know,none,goodadvice,R_3oRWIEgmsU3oIf1,1173,1,1,0,0,3,2,3,5,2,5
373,100,920,TRUE,R_d5tOK1QUoOCkoLL,anonymous,EN,Chrome,87.0.4280.66,Windows NT 6.3,1366x768,Kgvu6173qM  ,eGsKU46kcI  ,2rqaJOjQrI  ,E7sBJN416K  ,s7N7RFQLO  ,mF35epsYx6  ,RmaIxUwan7  ,"No, I've never played any version of this game before",,,A few times a month,They were more skilled than most people,They were more skilled than me,6,94,I was more experienced than most people,I was as skilled as most people,4,4,"With a computer mouse

",,Google Chrome,,"lion, tiger, dog, deer, elephant, bear, ",46,Male,Other,orange,"Yes, I only spoke English growing up",,,no,gaming study,nice,badadvice,R_d5tOK1QUoOCkoLL,920,0,0,1,0,0,2,5,4,2,5
374,100,812,TRUE,R_2Y9u2QQEaZRzpAZ,anonymous,EN,Firefox,85,Ubuntu,1366x768,aXkrK7fNx9  ,YnGkVUKtG,UWQ9tJcvFT  ,9dDcTU8CCn  ,LhSTDbUNFp ,z8o30yzQjD ,86qYCgT79  ,"No, I've never played any version of this game before",,,I never play word-finding games,,,,NA,I was less experienced than most people,I was less skilled than most people,10,,"With a trackpad

",,Mozilla Firefox,,"elephant, rat, mouse, pig, sheep, cow, mule, horse, donkey, zebra, giraffe, hippo, rhino, alligator, crocodile, dog, cat, bird, squirrel, chipmunk, camel, flamingo",56,Female,Other,orange,"Yes, I only spoke English growing up",,,none,word fluency and capacity,,control,R_2Y9u2QQEaZRzpAZ,812,1,1,0,0,7,7,10,6,9,9
375,100,1543,TRUE,R_x3LEnB1NrGuFSRH,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768, XoWKcMImNU  ,N9QoS23t0R  ,qiZt8ChWDL  ,aCgEDMDoLv  ,  W3FX3CEGLY  ,s21xsiXnYh,CcNtVoSKc5  ,"Yes, I've played some version of this game before",Within the last week,Within the last month,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,5,,"With a computer mouse

",,Google Chrome,,"An Oxford Comma is a comma used before the last list item in a list of three or more items. When there are three or more list items, then those following ""US convention"" should use a comma ",30,Female,"Gender, marital status, and education",,"Yes, I spoke English and these other languages growing up:",,,"We put together a shortlist of some of the most common issues people face when they're creating surveys, ",The survey is very nice,very good,control,R_x3LEnB1NrGuFSRH,1543,0,0,0,0,0,0,0,0,0,0
376,100,1553,TRUE,R_eLki0axjbNrgzPX,anonymous,EN,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,eKdzQpcvFa,Jis2gS2jG,nE589bdeuW,IO47OriEQ5 ,RWuF8Dfyv7  ,btRFs5UGce,dx4t6g2FDS,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were more skilled than me,5,63,I was less experienced than most people,I was less skilled than most people,10,15,"With a computer mouse

",,Google Chrome,,"elephant, cat, dog, tiger, mouse, duck, eel, fish, giraffe, lion, monkey, parrot, gerbil, hamster, ",29,Female,Other,orange,"Yes, I only spoke English growing up",,,,increasingly getting better at word searches after help,,goodadvice,R_eLki0axjbNrgzPX,1553,0,0,1,0,8,10,8,11,11,18
377,100,1411,TRUE,R_DT8g7Pi1JJADSmt,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,fwl65eG8L9  ,jqQHtgTbrM  ,N8OOQJ5pqF  ,lUtkRi9uz  ,o70xb6VXrr  ,CTu3FVItpJ  ,2zJOP77dYg  ,"No, I've never played any version of this game before",,,A few times a month,They were less skilled than most people,They were about as skilled as me,6,78,I was less experienced than most people,I was as skilled as most people,2,3,"With a computer mouse

",,Google Chrome,,"dog, cow, cat, ",45,Male,Other,orange,"Yes, I only spoke English growing up",,,the survey is very nice,this study is good,good,goodadvice,R_DT8g7Pi1JJADSmt,1411,0,0,1,1,0,0,0,0,0,0
378,100,1008,TRUE,R_32RtDvWwl3EwHAw,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,2560x1440,PPOyRVs5ir  ,GmNU9LJcUw  ,d4mO54cbwS  ,7iB1jOksJP  ,8vwzyjJZUH  ,HD1cL4x7Ja  ,FkRirVTXQ4  ,"No, I've never played any version of this game before",,,A few times a year,They were less skilled than most people,They were less skilled than me,3,1,I was less experienced than most people,I was as skilled as most people,6,5,"With a computer mouse

",,Google Chrome,,cat dog otter kangaroo wolf bear zebra horse mongoose snake elephant giraffe lion tiger bird coyote lynx osprey ferret lizard ,35,Male,Other,orange,"Yes, I only spoke English growing up",,,,Improvement in word-finding over time.,,goodadvice,R_32RtDvWwl3EwHAw,1008,1,0,0,0,11,7,8,12,9,11
379,100,1471,TRUE,R_VQr7COSLVyDUD2F,anonymous,EN,Chrome,87.0.4280.141,Macintosh,1920x1080,XKmF6UrLmH,Eh9MHVGvu3,JsNZK9bWwI,aee99aVw1y ,otutbjZNHS ,yuaDHYi8kS ,0ihGZiEitt,"No, I've never played any version of this game before",,,I never play word-finding games,They were about as skilled as most people,They were more skilled than me,5,20,I was less experienced than most people,I was less skilled than most people,9,15,"With a computer mouse

",,Google Chrome,,"deer, frog, elephant, bear, tiger, gorilla, giraffe, lion, cheetah, reindeer,",62,Female,Other,orange,"Yes, I only spoke English growing up",,,none,word scramble skills,"The instructions said this survey would take approximately 10 minutes. I am currently at 24, and counting. That's a lot to ask from someone for a dollar! I have no further comments, thank you.",goodadvice,R_VQr7COSLVyDUD2F,1471,1,0,0,0,1,4,8,6,5,11
380,100,762,TRUE,R_vjbSiDiSyl153zz,anonymous,EN,Chrome,87.0.4280.66,Windows NT 10.0,1920x1080,GLd8JJsg8C,QlmBuJprXc ,aMth01kUMW,kchrJzaiuT,XerbnORHRe,zm1edV1qsF,uZjUYcXMhU,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,8,,"With a computer mouse

",,Google Chrome,,tapir capybara giraffe boar elephant tiger lion bear cat dog hamster goose moose bat rat horse cow chicken pig duck rhinoceros hippopotamus ,49,Female,Other,orange,"Yes, I only spoke English growing up",,,no,how fast our mind can process and unscramble words,,control,R_vjbSiDiSyl153zz,762,0,1,0,0,10,9,12,13,11,16
381,100,1066,TRUE,R_1gu104ECTH3eVzZ,anonymous,EN,Firefox,85,Windows NT 10.0,1280x800,oFQWX0kGN,cg3u6g2N3I ,30jQlJSLb7,LdFsy5ul5K,6jyTnq6yRP,6arXjCs46,Y8nnxI8d8L,"No, I've never played any version of this game before",,,A few times a month,They were about as skilled as most people,They were more skilled than me,5,20,I was less experienced than most people,I was less skilled than most people,8,10,"With a computer mouse

",,Mozilla Firefox,,"Zebra, cat, dog, cow, pig, fox, gnu, deer, rat, mouse, ferret, lizard, snake, owl, ",37,Male,Other,orange,"Yes, I only spoke English growing up",,,Not really. Sometimes the last letter of the word carried over to the first letter of the next.,Our ability to react under pressure and with advice.,,goodadvice,R_1gu104ECTH3eVzZ,1066,0,0,0,0,4,8,9,5,8,10
382,100,1395,TRUE,R_338BE7tJ2cpRvQ5,anonymous,EN,Firefox,85,Windows NT 10.0,1536x864,Kxn4uvSagp,3aURozRopp,lJqHnQce7q,f3GoeNPScW,0nF1sUkLOQ,EZuPUgzjgE,IL2xwKqChc,"No, I've never played any version of this game before",,,I never play word-finding games,,,,NA,I was less experienced than most people,I was less skilled than most people,5,,"With a computer mouse

",,Mozilla Firefox,,"cat, rat, mouse, horse, bat, dog, fish, whale, fly, flea, bird, snake, lizard, ",44,Male,Other,orange,"Yes, I only spoke English growing up",,,no,word detection,,control,R_338BE7tJ2cpRvQ5,1395,0,0,0,1,9,5,6,1,7,4
384,100,748,TRUE,R_3gTTJhHrJ4JUvz2,anonymous,EN,Edge,88.0.705.74,Windows NT 10.0,1680x1050,sK9tL6Q8I7,SKV98fhKsp,fSVOylM8Je,zUMxFTKB5,h2aN0kQpvF,2WDWVfV7Ct,PJ7hVutEY,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,4,4,I was less experienced than most people,I was as skilled as most people,7,7,"With a computer mouse

",,Other,Microsoft Edge,gorilla ape monkey hippo elephant cow cat dog rooster chicken goat llama pig squirrel bunny fish giraffe lion hedgehog capybara armadillo skunk beaver otter possum ra,29,Male,Other,orange,"Yes, I only spoke English growing up",,,none,Testing the effectiveness of the advice on people's ability to complete the word scramble game.,none,badadvice,R_3gTTJhHrJ4JUvz2,748,0,0,0,1,6,10,10,15,9,16
385,100,1450,TRUE,R_1daVDv2863lDHs7,anonymous,EN,Chrome,87.0.4280.88,Windows NT 10.0,1280x720,a4r8pyOkmI  ,cIouL8Izxj  ,0RXl1Y2lmX  ,5OJ1d09M26  ,eKLQsKk55  ,KusgazuT4k  ,UzEoWVRSH2  ,"No, I've never played any version of this game before",,,A few times a month,They were more skilled than most people,They were more skilled than me,6,74,I was more experienced than most people,I was more skilled than most people,3,4,"With a computer mouse

",,Google Chrome,,"Cat, Dog, Lion, Tiger, Elephant, Bear, Deer, Goat, Cow, Cheetah, Leopard",33,Male,Other,orange,"Yes, I only spoke English growing up",,,No,,Enjoyable,badadvice,R_1daVDv2863lDHs7,1450,0,0,1,1,3,2,3,4,4,4
386,100,965,TRUE,R_ssOE8kuLjY4bNJv,anonymous,EN,Chrome,87.0.4280.109,CrOS x86_64 13505.73.0,1366x768,TBiSlWfgO0  ,KlcoLeyhiV ,lFS4p08s32,1BKFc4QGv7  ,V8vlbdyKzg  ,q8xOE8R61O  ,KdCVbKOiaT  ,"No, I've never played any version of this game before",,,A few times a month,,They were about as skilled as me,1 - Extremely unhelpful,7,I was less experienced than most people,I was less skilled than most people,6,8,"With a computer mouse

",,Google Chrome,,"tabbit, dog, cat, elephant, fox, bird, zebra, horse, emy, ",55,Female,Other,orange,"Yes, I only spoke English growing up",,,no,"not sure, it wass long",,badadvice,R_ssOE8kuLjY4bNJv,965,0,0,0,0,5,5,8,9,6,7
387,100,807,TRUE,R_3KPd5xhNjoWhydV,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,M0pUQqrr33,ObqwneGtp,UNvw9iD8zj,sgW9oL3Bag,tTuv4uO8d,uRPQU44b7n,e5kyP0xmg0,"Yes, I've played some version of this game before",Within the last week,More than 5 years ago,A few times a week,,,,NA,I was more experienced than most people,I was more skilled than most people,20,,"With a computer mouse

",,Google Chrome,,"dog,cow,horse,pig,sheep,cat,mouse,rat,chipmunk,bird,snake,lizard,swan,duck,goose,camel,zebra,gorilla,ferret,hamster,gerbil,",56,Male,Other,orange,"Yes, I only spoke English growing up",,,Nope.,No idea. I'm curious if maybe some boards for other participants were deliberately easier or harder to form words from.,"I should mention that I play Ruzzle dozens of times a day, so this was right up my alley.",control,R_3KPd5xhNjoWhydV,807,0,0,0,0,21,27,22,25,26,30
388,100,1487,TRUE,R_24BQ5vo58jZr8aE,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1920x1080,d5lL6bGuRU  ,  8sDLyWu5wc , yYw8ju9BWM,eiJvf1JF6i ,HTrT0hgowL  , swl4I7Ik0y  ,crB3MzXRGf,"No, I've never played any version of this game before",,,I never play word-finding games,They were more skilled than most people,They were more skilled than me,5,65,I was less experienced than most people,I was less skilled than most people,11,14,"With a computer mouse

",,Google Chrome,,"bat, cat, dog, mouse, giraffe, money, lion, tiger, cow, bird",40,Male,Other,orange,"Yes, I only spoke English growing up",,,,not sure,it was too long,goodadvice,R_24BQ5vo58jZr8aE,1487,1,1,0,0,11,10,11,8,13,14
389,100,1209,TRUE,R_3LhZDSlcognW0bL,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1366x768,Rm6eJ72eu,Le6oHxU5p,Vhomjo6vKz  ,5NCsg1lp3t,cWtpGyTLK9  ,RDrfJrnIyE ,Fql3yZeoku ,I'm not sure,,,I never play word-finding games,They were about as skilled as most people,They were less skilled than me,6,72,I was less experienced than most people,I was less skilled than most people,2,5,"With a computer mouse

",,Google Chrome,,"cow, rat, hen, sheep, lion, goat, elephant, bear, hipo, ",30,Male,Other,orange,"Yes, I only spoke English growing up",,,,,,badadvice,R_3LhZDSlcognW0bL,1209,0,0,1,0,6,2,6,7,6,6
390,100,758,TRUE,R_1oFFAbHNqojhcms,anonymous,EN,Firefox,86,Windows NT 10.0,1920x1080,K7829snVpB ,uYNiio7xIc ,dEV5dUZHC9,iLsxevwUgJ,OF1GfRVl05,Fqx74R3SiD,vqxGUVIpnV,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,10,,"With a computer mouse

",,Mozilla Firefox,,"Cat, Dog, Moose, Lion, Tiger, Bear, Zebra, Panda, Goat, Cow, Monkey, Chimp, Alligator, Shark, Llama, Fish, Goose, Bird, Skunk, Raccoon.",34,Male,Other,orange,"Yes, I only spoke English growing up",,,None,General Ability,None,control,R_1oFFAbHNqojhcms,758,1,1,0,0,8,8,12,9,12,10
391,100,1680,TRUE,R_3F5tuhWY1kmlJ6z,anonymous,EN,Safari,14.0.3,Macintosh,2560x1440,lOokp12OIJ  ,tSOI43G7vI ,9DjLWPu5zk,ekbOqcY39g ,1nw3z7WC9x,LvD6IZl94t,RSS8RWOhlV,"No, I've never played any version of this game before",,,A few times a year,They were about as skilled as most people,They were more skilled than me,6,77,I was as experienced as most people,I was as skilled as most people,6,8,"With a computer mouse

",,Safari,,"alligator, crocodile, hornet, bear, cardinal, Seahawk, tiger, snake, roach, dog, cat, horse, elephant, mouse, rat",44,Male,Other,orange,"Yes, I only spoke English growing up",,,no,Game performance and perceptions of self,I would like to participate in more surveys like this one,goodadvice,R_3F5tuhWY1kmlJ6z,1680,1,0,0,1,2,3,6,9,7,7
392,100,988,TRUE,R_3QF7IyQiu8meK1j,anonymous,EN,Chrome,87.0.4280.141,Windows NT 10.0,1366x768,pOkV4jgf8,911K54y5VT,owPtutwHD9,xBhYwgrUK5,kwQvrwxt7N, FO1ldsXObT ,QkHexptdy7  ,"No, I've never played any version of this game before",,,A few times a week,They were more skilled than most people,They were more skilled than me,7 - Extremely helpful,87,I was as experienced as most people,I was more skilled than most people,7,7,"With a computer mouse

",,Google Chrome,,"Cat 
Dog
Elephant
Rat
Deer
Lion
Tiger
Rabbit",30,Male,Other,orange,"Yes, I only spoke English growing up",,,No,Good,Good,goodadvice,R_3QF7IyQiu8meK1j,988,0,0,0,0,3,7,5,8,8,8
393,100,1143,TRUE,R_39SKm0H7VB5RVQJ,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,VDf2mpqp2,skZnFhzgIv,QErwTJ7xq,HjsZyV2wdm,L6TdU0KGwT,MLmcpZp8FT,wiMx0SNMt6,"No, I've never played any version of this game before",,,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,5,,"With a computer mouse

",,Google Chrome,,"Lion, Tiger, Mouse, Elephant, Cat, Dog.",36,Male,Other,orange,"Yes, I only spoke English growing up",,,no,play a game,excellent,control,R_39SKm0H7VB5RVQJ,1143,0,0,0,0,2,4,6,7,7,8
394,100,1454,TRUE,R_2afZSZDI7AUgcbS,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,PdK3v0jCv2,9tn5fh6WnC  ,8E18GlazqX  ,rscDGJha4u,414mK7lzaY,MJtgkuh4LV,z0nESgY8Hh,"No, I've never played any version of this game before",,,A few times a week,,,,NA,I was as experienced as most people,I was as skilled as most people,5,,"With a computer mouse

",,Google Chrome,,"cat
dog
lion
tiger
cow
elephant
leopard
cheetah
gazelle
zebra
monkey
",25,Female,Other,orange,"Yes, I only spoke English growing up",,,"not at all, the survey was good","how to relate mind, eye and touch while playing a game",nice study,control,R_2afZSZDI7AUgcbS,1454,0,0,1,0,3,8,7,5,12,8
395,100,1034,TRUE,R_2YRQ4EphqdLlYy8,anonymous,EN,Firefox,85,Windows NT 10.0,1920x1080,EM9z65tIxU,QrljgBYWHp,lXKg873oVm,4f6fnc3aEg,Xf5GPRPJGT,J7fRBhGHni,Z7gNdfreC,"No, I've never played any version of this game before",,,A few times a month,They were about as skilled as most people,They were about as skilled as me,2,12,I was as experienced as most people,I was as skilled as most people,15,15,"With a computer mouse

",,Mozilla Firefox,,"rabbit,cat,dog,wolf,turtle",24,Male,Other,orange,"Yes, I only spoke English growing up",,,,,,goodadvice,R_2YRQ4EphqdLlYy8,1034,1,1,0,0,4,4,8,9,6,8
396,100,962,TRUE,R_3nkJTnZl3nkon5o,anonymous,EN,Chrome,83.0.4103.61,Windows NT 10.0,1366x768,afofmtj3Wc  ,xySGO3rZTX  ,EIIPpBt6bF  ,I80PNigIRr  ,XjXpgVVKXP  ,ZhJXVix7Ga  ,aVvkfoZ3Bk  ,"No, I've never played any version of this game before",,,A few times a year,They were about as skilled as most people,They were about as skilled as me,5,63,I was as experienced as most people,I was as skilled as most people,3,4,"With a computer mouse

",,Google Chrome,,"Tiger, Lion, Zebra, Monkey, Dolphin, Dog, Cat, Rat, Rabbit, Elephant, Rhinoceros, Crocodile, Aligator, Tortoise, ",43,Female,Other,orange,"Yes, I only spoke English growing up",,,None,To test people skills over language,None,badadvice,R_3nkJTnZl3nkon5o,962,0,0,0,0,2,2,4,3,4,6
397,100,1674,TRUE,R_3snVJJmsJBh3vu0,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,dNtkD6VdtV,ztZLx4EbbJ,5rmuDBLQFS ,MJ1rXwesNU,IGPDa96HtH,zpl027l09r,Y5k5BCqpPm,"No, I've never played any version of this game before",,,A few times a month,They were about as skilled as most people,They were about as skilled as me,5,40,I was as experienced as most people,I was as skilled as most people,3,4,"With a computer mouse

",,Google Chrome,,"lion, cat ,dog, monkey, dear, tiger, ",52,Female,Other,orange,"Yes, I only spoke English growing up",,,none,to test people knowledge,none,goodadvice,R_3snVJJmsJBh3vu0,1674,0,0,0,0,2,2,3,2,4,6
398,100,1206,TRUE,R_RK84SAdVT9xIrhn,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1367x768, ugx3ZaM0ch  ,  DP1qk8JLmL  , oaeBUnzHLc  , qPqSGBzTYl, fieUxi0piw  , B1ymlzO5w ,ybHfZ4eP3  ,"Yes, I've played some version of this game before",Within the last week,Within the last month,I never play word-finding games,They were more skilled than most people,They were more skilled than me,6,80,I was more experienced than most people,I was as skilled as most people,9,1,"With a computer mouse

",,Internet Explorer,,"ELEPHANT, DEER , DOG, CAT, LION, TIGER, MONKEY, ",35,Female,Other,orange,"Yes, I only spoke English growing up",,,No issues about this survey .,Nice experience ,good survey,goodadvice,R_RK84SAdVT9xIrhn,1206,0,0,1,1,0,2,1,4,4,9
399,100,1704,TRUE,R_3p3YhaSlB93c41u,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1536x864,M2ZrlOvqWi,5ECZ4fOB0,Bm8RJs2ok2,WLI3kxCUxb,eKvWialRVj,FguUbePOE,uYm9ZsuBx,"No, I've never played any version of this game before",,,I never play word-finding games,They were more skilled than most people,They were more skilled than me,6,70,I was less experienced than most people,I was less skilled than most people,12,16,"With a computer mouse

",,Google Chrome,,"Giraffe, dog, cat, bird, hawk, fish, hippo, lion, hyena, rhino, cheetah, leopard, tiger, panther, bear, deer, elk, moose, panda, fox, red panda, ",31,Male,Other,orange,"Yes, I only spoke English growing up",,,"No, I did not encounter any glitches or errors. ",To determine how creative people can be given a set of words. ,I actually enjoyed these games. Thank you for the experience. ,goodadvice,R_3p3YhaSlB93c41u,1704,1,0,0,0,10,7,9,7,12,14
400,100,631,TRUE,R_1fkIiIibFKuz75K,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,VPC2XEIUrO  ,WLmWuI5IwS ,OD4lyyrKSQ,urGQysG2Sp  ,zZb2ZZkRj4  ,xXpvdYgh0V ,uKLmNT9Vta ,"No, I've never played any version of this game before",,,I never play word-finding games,,,,NA,I was as experienced as most people,I was as skilled as most people,10,,"With a computer mouse

",,Google Chrome,,"dog, cat, parrot, lion, tiger, elephant, bear, fish, whale, dolphin, rabbit, squirel, chipmunk, skunk, deer, elk, moose, snake, ferret, gopher, mouse, rat, weasel, badger, otter, wolverine, beaver, ",39,Male,Other,orange,"Yes, I only spoke English growing up",,,,unknown,,control,R_1fkIiIibFKuz75K,631,0,0,0,0,10,14,12,11,12,12
401,100,908,TRUE,R_29mQT9Qv4q3ORrX,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1536x864,uK21FNWEYB, HIkR31Cc7s,PHSnEnDNN0 ,XUFoof0yi  ,4YOFd03Mx ,S8hdKWCNLb ,zj85JgPqeU,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,8,,"With a computer mouse

",,Google Chrome,,"elephant, ape, orangutan, giraffe, hippo, rhino, tiger, lion, panther, puma, cheetah, leopard, mouse, rat, dog, cat, hamster",51,Female,Other,orange,"Yes, I only spoke English growing up",,,None,I honestly do not know what it could be about,"Fun & Different study, thank you =)",control,R_29mQT9Qv4q3ORrX,908,0,1,0,0,8,10,11,11,15,19
402,100,1559,TRUE,R_3qeqjfUKNsJemEU,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1440x900,UPcwGm6JCp ,9gO5p7cZjf  ,g0crTC7wfS  ,mutkXU1RYY  ,SImZ9O4nSX  ,rDjYPOnlY  ,Cxem9JvUQ0  ,"No, I've never played any version of this game before",,,A few times a month,They were less skilled than most people,They were less skilled than me,5,81,I was less experienced than most people,I was less skilled than most people,2,2,"With a computer mouse

",,Google Chrome,,"Lion, Tiger, Cow, Dog, Bear, Goat,  ",34,Male,Other,orange,"Yes, I only spoke English growing up",,,no,,,badadvice,R_3qeqjfUKNsJemEU,1559,0,0,0,0,2,2,3,2,0,1
403,100,867,TRUE,R_wXfPJ6tFl8LAirf,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1920x1080,OcOScx1Prv,nkDWGqTkl1  ,YlzouBwLcY  ,OTst1NzXx4 ,LOspvpg2j8  , XkHgNi68kS  ,gZfXx5TdK7  ,"No, I've never played any version of this game before",,,Less than once a year,They were more skilled than most people,They were more skilled than me,5,56,I was less experienced than most people,I was less skilled than most people,10,12,"With a computer mouse

",,Google Chrome,,"Cat, Dog, Fish, Cow, Fox, Snake, Bird, Shark, Dolphin, Leopard, ",26,Male,Other,orange,"Yes, I only spoke English growing up",,,none,"Not entirely sure, possibly seeing how well people do with finding words with a small amount present ",,badadvice,R_wXfPJ6tFl8LAirf,867,0,0,0,0,3,5,4,8,10,8
404,100,1052,TRUE,R_1fma6w4Bd5lwDQM,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1366x768,akl8PoeUI,hf1Uy8ou7F ,tMT22ZTS6X,tMT22ZTS6X,iUz0T6ewnm, LV5tlCHzdI ,47H8lx4Dup ,"No, I've never played any version of this game before",,,I never play word-finding games,They were about as skilled as most people,They were about as skilled as me,7 - Extremely helpful,45,I was less experienced than most people,I was less skilled than most people,2,4,"With a computer mouse

",,Google Chrome,,"Tiger,Cheetah,Lion,Dog,",27,Female,Other,orange,"Yes, I only spoke English growing up",,,Nope,Word Game ,,badadvice,R_1fma6w4Bd5lwDQM,1052,0,0,0,1,0,1,1,3,4,6
405,100,1609,TRUE,R_31jf7kvfUWFWjdV,anonymous,EN,Safari,14.0.3,Macintosh,1440x900,IZDVQ8U3sS ,GDeTKDtdbK,uIZP3qjmWP,YRgODghVg5,Yf8dPQgRoS,mnoMPb3Kul,uHTCgZV2Vc,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,4,53,I was as experienced as most people,I was as skilled as most people,12,15,"With a trackpad

",,Safari,,"bat, cat, dog, bird, lion, llama, weasel, zebra, horse, eel, fish, dolphin, whale, giraffe, lizard, snail, donkey, tiger, jaguar, mouse, beaver, sw",50,Male,Other,orange,"Yes, I only spoke English growing up",,,,no idea,,goodadvice,R_31jf7kvfUWFWjdV,1609,0,0,0,0,12,16,12,15,17,17
406,100,1418,TRUE,R_334sr86IARU08kt,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1536x864,drhjGM1VcI  ,uSDboq3It ,JIFX3jPDc  ,dXKKEpQSmQ  ,wWHEF8NoL,DjMCnxPcwT  ,dHGbfqIdwC  ,"No, I've never played any version of this game before",,,I never play word-finding games,They were about as skilled as most people,They were about as skilled as me,3,10,I was as experienced as most people,I was as skilled as most people,10,12,"With a computer mouse

",,Google Chrome,,"zebra, lion, dog, cat, frog, ant, elephant",27,Male,Other,orange,"Yes, I only spoke English growing up",,,,opiinion,no,badadvice,R_334sr86IARU08kt,1418,1,1,0,0,7,16,17,23,20,17
407,100,1522,TRUE,R_2Qy7olELYcWxgRC,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,7bkUnPWuiQ  ,FTIxhSOlfN,DK3OykFlVi  ,DRJrpC6wdT  ,UeO5WxVyDi  ,uWLjxvayQX  ,Hrzme5bBmz  ,"Yes, I've played some version of this game before",Within the last week,Within the last 6 months,A few times a month,,,,NA,I was less experienced than most people,I was less skilled than most people,1,,"With a computer mouse

",,Internet Explorer,,"DOG,MONKY,TIGER,ZPIRA,KANGORU",36,Male,"Sexual orientation, relationship satisfaction",,"Yes, I only spoke English growing up",,,NO SURVEY IS VERY NICE,GOOD,BEST GAME,control,R_2Qy7olELYcWxgRC,1522,0,0,0,0,0,0,0,0,1,0
